,title,link,description,is_full_link,is_pdf,haystack
21,postal  courier services regulation and e commerce development,https://rura.rw/index.php?id=253,,True,False,postal  courier services regulation and e commerce development https://rura.rw/index.php?id=253
22,ict media regulation,https://rura.rw/index.php?id=156,,True,False,ict media regulation https://rura.rw/index.php?id=156
23,regulatory instruments,https://rura.rw/index.php?id=160,,True,False,regulatory instruments https://rura.rw/index.php?id=160
24,laws and orders,https://rura.rw/index.php?id=50,,True,False,laws and orders https://rura.rw/index.php?id=50
25,regulations and guidelines,https://rura.rw/index.php?id=51,,True,False,regulations and guidelines https://rura.rw/index.php?id=51
26,board decisions,https://rura.rw/index.php?id=161,,True,False,board decisions https://rura.rw/index.php?id=161
27,other documents,https://rura.rw/index.php?id=232,,True,False,other documents https://rura.rw/index.php?id=232
28,statistics,https://rura.rw/index.php?id=60,,True,False,statistics https://rura.rw/index.php?id=60
29,monthly publication,https://rura.rw/index.php?id=188,,True,False,monthly publication https://rura.rw/index.php?id=188
30,quarterly publication,https://rura.rw/index.php?id=194,,True,False,quarterly publication https://rura.rw/index.php?id=194
31,sector reports,https://rura.rw/index.php?id=164,,True,False,sector reports https://rura.rw/index.php?id=164
32,faqs,https://rura.rw/index.php?id=222,,True,False,faqs https://rura.rw/index.php?id=222
33,radiation protection,https://rura.rw/index.php?id=237,,True,False,radiation protection https://rura.rw/index.php?id=237
34,overview,https://rura.rw/index.php?id=238,,True,False,overview https://rura.rw/index.php?id=238
35,services,https://rura.rw/index.php?id=251,,True,False,services https://rura.rw/index.php?id=251
36,law governing radiation protection,https://rura.rw/index.php?id=284,,True,False,law governing radiation protection https://rura.rw/index.php?id=284
37,regulations and guidelines,https://rura.rw/index.php?id=282,,True,False,regulations and guidelines https://rura.rw/index.php?id=282
38,sector publications,https://rura.rw/index.php?id=283,,True,False,sector publications https://rura.rw/index.php?id=283
39,faqs,https://rura.rw/index.php?id=286,,True,False,faqs https://rura.rw/index.php?id=286
40,energy,https://rura.rw/index.php?id=63,,True,False,energy https://rura.rw/index.php?id=63
41,overview,https://rura.rw/index.php?id=137,,True,False,overview https://rura.rw/index.php?id=137
42,sub sectors and services,https://rura.rw/index.php?id=173,,True,False,sub sectors and services https://rura.rw/index.php?id=173
