,title,link,description,is_full_link,is_pdf
96,water and sanitation sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7,,True,False
97,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=10&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=080d8ba93034ea8804a270818390fcc7,,True,False
98,energy sector,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd,,True,False
99,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd,,True,False
100,radiation protection ,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False
101,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False
102,annual reports,https://rura.rw/index.php?id=213,,True,False
103,tariffs,https://rura.rw/index.php?id=288,,True,False
104,statistics,https://rura.rw/index.php?id=276,,True,False
105,revoked licenses,https://rura.rw/index.php?id=287,,True,False
106,key ict documents,https://rura.rw/index.php?id=211,,True,False
107,consumer affairs,https://rura.rw/index.php?id=279,,True,False
108,regulations and guidelines,https://rura.rw/index.php?id=207,,True,False
109,board decisions,https://rura.rw/index.php?id=208,,True,False
110,regulations for consultation,https://rura.rw/index.php?id=291,,True,False
111,faqs,https://rura.rw/index.php?id=217,,True,False
112,           rura hosts government institutions to discuss nuclear safeguards implementation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1697&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=3114a7391a8b2521275ed7a234870177,,True,False
113,           an ai ethics primer for the rwandan ai ecosystem and consultation on ethical ai guidelines          ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1696&tx_news_pi1%5Bday%5D=21&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=2bcaf2dbcf178d2fed28fb08b3183058,,True,False
114,           rura in partnership with iaea hosts a regional workshop on radiation protection officers and qualified experts         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1691&tx_news_pi1%5Bday%5D=7&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=b7e6c9903dbdaefe8f39ab8a03ff9a88,,True,False
115,           rura and zambian energy regulator exchange experience on lpg regulation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1671&tx_news_pi1%5Bday%5D=23&tx_news_pi1%5Bmonth%5D=9&tx_news_pi1%5Byear%5D=2022&cHash=e0cbb1a8937231f8afa48064e0215e3e,,True,False
116,           open call for the rwandan artificial intelligence ai  ecosystem  ai ethics applied programme and consultation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1653&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=8&tx_news_pi1%5Byear%5D=2022&cHash=cd34289aa0182cdb2eb51a976bb05208,,True,False
117,public notices,https://rura.rw/index.php?id=227,,True,False
118,announcements,https://rura.rw/index.php?id=187,,True,False
119,jobs,https://rura.rw/index.php?id=33,,True,False
120,background,https://rura.rw/index.php?id=44,,True,False
121,rura functions,https://rura.rw/index.php?id=45,,True,False
122,rura mission  vision and values,https://rura.rw/index.php?id=46,,True,False
123,rura law and related orders,https://rura.rw/index.php?id=202,,True,False
124,regional and international partnerships,https://rura.rw/index.php?id=47,,True,False
125,consumer affairs,https://rura.rw/index.php?id=262,,True,False
126,strategic plan 2022 2027,https://rura.rw/index.php?id=289,,True,False
127,service charter,https://rura.rw/index.php?id=150,,True,False
128,faqs,https://rura.rw/index.php?id=103,,True,False
129,overview,https://rura.rw/index.php?id=49,,True,False
130,sub sectors and services,https://rura.rw/index.php?id=159,,True,False
131,regulatory instruments,https://rura.rw/index.php?id=160,,True,False
132,statistics,https://rura.rw/index.php?id=60,,True,False
133,sector reports,https://rura.rw/index.php?id=164,,True,False
134,faqs,https://rura.rw/index.php?id=222,,True,False
135,overview,https://rura.rw/index.php?id=137,,True,False
136,sub sectors and services,https://rura.rw/index.php?id=173,,True,False
137,regulatory instruments,https://rura.rw/index.php?id=174,,True,False
138,statistics,https://rura.rw/index.php?id=71,,True,False
139,faqs,https://rura.rw/index.php?id=223,,True,False
140,overview,https://rura.rw/index.php?id=153,,True,False
141,sub sectors and services,https://rura.rw/index.php?id=165,,True,False
142,regulatory instruments,https://rura.rw/index.php?id=169,,True,False
143,statistics,https://rura.rw/index.php?id=78,,True,False
144,faqs,https://rura.rw/index.php?id=224,,True,False
145,overview,https://rura.rw/index.php?id=89,,True,False
146,sub sectors and services,https://rura.rw/index.php?id=178,,True,False
147,regulatory instruments,https://rura.rw/index.php?id=179,,True,False
148,sector  reports,https://rura.rw/index.php?id=185,,True,False
149,statistics,https://rura.rw/index.php?id=86,,True,False
150,faqs,https://rura.rw/index.php?id=88,,True,False
151,home,https://www.rssb.rw/,,,
152,schemes,https://www.rssb.rw/#schemes,,,
153,investment,https://www.rssb.rw/investment,,,
154,management,https://www.rssb.rw/management,,,
155,about,https://www.rssb.rw/aboutus,,,
156,careers,https://www.rssb.rw/careers,,,
157,news & events,https://www.rssb.rw/news,,,
158,Maternity LeaveEnjoy your maternity leave with your full salarylearn more,https://www.rssb.rw/scheme/maternity-leave,,,
159,"Medical SchemeOur Health, our Futurelearn more",https://www.rssb.rw/scheme/medical-scheme,,,
160,CBHI SchemeGiving you happiness at best ratelearn more,https://www.rssb.rw/scheme/cbhi-scheme,,,
161,Pension SchemeRetire with dignitylearn more,https://www.rssb.rw/scheme/pension-scheme,,,
162,Occupational HazardsWe are  here for youlearn more,https://www.rssb.rw/scheme/occupational-hazards,,,
163,EjoHezaStart early and reap the rewards.learn more,https://www.rssb.rw/scheme/ejo-heza,,,
164,Check Contribution,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,,,
165,RSSB Clearance Certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,,,
166,Apply for Employee Number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,,,
167,Pay Employee Contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,,,
168,"a month agoRSSB invests in Katapult Africa Seed Fund, Nine Start-u ...On Friday 4th November 2022, Katapult Africa officially launched its Accelerator Program in Kigali, Rwanda together with its partners, NORAD - Norwegi ...Read more ...",https://www.rssb.rw/rssb-invests-in-katapult-africa-seed-fund-nine-start-ups-selected-for-accelerator-program,,,
169,"7 months agoCommunity-based health insurance scheme receives financ ...KIGALI - May 25th , 2022 : AIDS Healthcare Foundation Rwanda( AHF Rwanda) handed over a cheque of 133,866,000 Frw to Rwanda Social Security Board to s ...Read more ...",https://www.rssb.rw/community-based-health-insurance-scheme-receives-financial-boost-from-ahf,,,
170,7 months agoRSSB remembers former CSR employees killed during the 1 ...Rwanda Social Security Board (RSSB) has remembered its former employees who were killed during the 1994 Genocide Against the Tutsi. The event was orga ...Read more ...,https://www.rssb.rw/rssb-remembers-former-csr-employees-killed-during-the-1994-genocide-against-the-tutsi,,,
171,Useful Staff Contacts,https://www.rssb.rw/useful-staff-contacts,,,
172,Tenders,https://www.rssb.rw/publications#tenders,,,
173,Gallery,https://www.rssb.rwhttps://www.flickr.com/photos/185734547@N05/,,,
174,Announcements,https://www.rssb.rw/publications#announcements,,,
175,Apply for employee number,https://www.rssb.rwhttps://online.rssb.rw/index1152.php?menu=employer,,,
176,Check for your contributions,https://www.rssb.rwhttps://www.imisanzu.rssb.rw/,,,
177,Pay employee contributions,https://www.rssb.rwhttps://etax.rra.gov.rw/,,,
178,Pension simulator,https://www.rssb.rw/?pensionSimulator=true,,,
179,RSSB clearance certificate,https://www.rssb.rwhttps://www.rra.gov.rw/fileadmin/user_upload/tcc.html,,,
180,Contact Us,/en/contact-us,,,
181,Change text size,#,,,
182,"





English
",/en/home,,,
183,"





Kinyarwanda
",/ahabanza,,,
184,"





French
",/fr/accueil,,,
185,Staff Login,https://mail.rra.gov.rw/owa/auth/logon.aspx?replaceCurrent=1&url=https%3a%2f%2fmail.rra.gov.rw%2fowa%2f,,,
186,"

Search
",#,,,
187,"Domestic Tax Services
                       
                      
",/en/domestic-tax-services,,,
188,"Customs Services
                        
                      ",/en/customs-services,,,
189,"Publications
                        
                      ",/en/publications,,,
190,"Rwanda Trade Portal
                        
                      ",https://rwandatrade.rw/,,,
191,"
               Click to Declare
                ",https://etax.rra.gov.rw/,,,
192,Click ,https://etax.rra.gov.rw/,,,
193,Click,https://myrra.rra.gov.rw/basic/login/indexLogin,,,
194,Click,https://localgov.rra.gov.rw/login,,,
195,Declare Domestic Taxes ,https://etax.rra.gov.rw/,,,
196,Declare District Revenues,https://localgov.rra.gov.rw/rlgmsHome,,,
197,Declare Non Fiscal Revenue ,https://nonfiscal.rra.gov.rw/,,,
198,Request TAX/QUITUS/RSSB Clearance Certificate,/en/tcc,,,
199,Electronic Single Window,https://sw.gov.rw/,,,
200,Property Tax Registration Request,https://onlinereg.rra.gov.rw/,,,
201,Tax Handbook,https://tax-handbook.rra.gov.rw/,,,
202,Domestic Tax Services ,/en/domestic-tax-services,,,
203,Customs Services ,/en/customs-services,,,
204,Rwanda Trade Portal ,https://rwandatrade.rw/,,,
205,Publications ,/en/publications,,,
206,RRA Profile,/en/about-us/rra-profile,,,
207,Job Vacancy,/en/about-us/job-vacancy,,,
208,News & Events,/en/about-us/news-events,,,
209,Announcements,/en/about-us/announcements,,,
210,rrainfo,https://twitter.com/rrainfo,,,
211,Rwanda Revenue Authority,https://web.facebook.com/RwandaRevenueAuthority?_rdc=1&_rdr,,,
212,Rwandarevenue,https://www.instagram.com/rwandarevenue/,,,
213,Rwanda Revenue Authority,https://www.youtube.com/channel/UCO4zbegoG2MuTGj6qj8wApQ/,,,
214,Rwandarevenue,https://www.flickr.com/photos/rwandarevenue,,,
215,Search for TIN using National ID,https://etax.rra.gov.rw/nidAssignedTIN/,,,
216,Tax Calculator,/en/tax-calculator,,,
217,Online Property Tax Registration Request,https://onlinereg.rra.gov.rw/,,,
218,Brochures,/en/useful-links/brochures,,,
